----------------------------------------ARGUMENTS----------------------------------------
auto_arg_by_dataset                      yelp23
index                                    3
emsize                                   384
nhead                                    2
nhid                                     2048
nlayers                                  6
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   200
batch_size                               256
seed                                     2022
cuda                                     True
log_interval                             200
checkpoint                               ./yelp23/3
outf                                     generated.json
vocab_size                               20000
endure_times                             5
rating_reg                               0.2
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
data_path                                /home/P76114511/projects/nete_format_data/yelp23/reviews.pickle
index_dir                                /home/P76114511/projects/nete_format_data/yelp23/3
meta_root                                data/yelp23/3/train-data
[2024-08-03 16:19:23.510955]: context ppl 550.0929 | text ppl 55.6340 | rating loss 1.1452 |  1000/ 9625 batches
[2024-08-03 16:19:29.760363]: context ppl 550.8513 | text ppl 55.9226 | rating loss 1.1620 |  1200/ 9625 batches
[2024-08-03 16:19:35.978130]: context ppl 550.1142 | text ppl 55.6386 | rating loss 1.1540 |  1400/ 9625 batches
[2024-08-03 16:19:42.243821]: context ppl 548.5841 | text ppl 54.8028 | rating loss 1.1558 |  1600/ 9625 batches
[2024-08-03 16:19:48.507265]: context ppl 550.6165 | text ppl 55.0350 | rating loss 1.1309 |  1800/ 9625 batches
[2024-08-03 16:19:54.771741]: context ppl 551.0148 | text ppl 54.7385 | rating loss 1.1437 |  2000/ 9625 batches
[2024-08-03 16:20:01.033738]: context ppl 549.2407 | text ppl 54.7803 | rating loss 1.1487 |  2200/ 9625 batches
[2024-08-03 16:20:07.297258]: context ppl 547.0142 | text ppl 53.2850 | rating loss 1.1308 |  2400/ 9625 batches
[2024-08-03 16:20:13.566725]: context ppl 548.9376 | text ppl 53.6791 | rating loss 1.1451 |  2600/ 9625 batches
[2024-08-03 16:20:19.830339]: context ppl 549.6303 | text ppl 53.2490 | rating loss 1.1329 |  2800/ 9625 batches
[2024-08-03 16:20:26.087835]: context ppl 546.8742 | text ppl 53.0246 | rating loss 1.1295 |  3000/ 9625 batches
[2024-08-03 16:20:32.293357]: context ppl 546.1466 | text ppl 52.7108 | rating loss 1.1309 |  3200/ 9625 batches
[2024-08-03 16:20:38.488488]: context ppl 550.5869 | text ppl 53.1457 | rating loss 1.1144 |  3400/ 9625 batches
[2024-08-03 16:20:44.683522]: context ppl 549.1368 | text ppl 52.6062 | rating loss 1.1233 |  3600/ 9625 batches
[2024-08-03 16:20:50.898635]: context ppl 549.1150 | text ppl 52.4765 | rating loss 1.0980 |  3800/ 9625 batches
[2024-08-03 16:20:57.094635]: context ppl 549.7060 | text ppl 52.0721 | rating loss 1.1041 |  4000/ 9625 batches
[2024-08-03 16:21:03.307441]: context ppl 551.4190 | text ppl 52.0367 | rating loss 1.0976 |  4200/ 9625 batches
[2024-08-03 16:21:09.500958]: context ppl 548.4904 | text ppl 51.7399 | rating loss 1.0730 |  4400/ 9625 batches
[2024-08-03 16:21:15.710979]: context ppl 549.8110 | text ppl 51.7713 | rating loss 1.0882 |  4600/ 9625 batches
[2024-08-03 16:21:21.970519]: context ppl 549.9533 | text ppl 51.4888 | rating loss 1.0834 |  4800/ 9625 batches
[2024-08-03 16:21:28.231140]: context ppl 545.2418 | text ppl 51.0682 | rating loss 1.0722 |  5000/ 9625 batches
[2024-08-03 16:21:34.490175]: context ppl 542.5779 | text ppl 50.3637 | rating loss 1.0654 |  5200/ 9625 batches
[2024-08-03 16:21:40.753695]: context ppl 549.4073 | text ppl 51.2133 | rating loss 1.0672 |  5400/ 9625 batches
[2024-08-03 16:21:47.011961]: context ppl 546.0238 | text ppl 50.8320 | rating loss 1.0431 |  5600/ 9625 batches
[2024-08-03 16:21:53.273416]: context ppl 545.4249 | text ppl 50.3085 | rating loss 1.0341 |  5800/ 9625 batches
[2024-08-03 16:21:59.535190]: context ppl 546.9152 | text ppl 50.2808 | rating loss 1.0404 |  6000/ 9625 batches
[2024-08-03 16:22:05.793735]: context ppl 546.9265 | text ppl 49.7132 | rating loss 1.0132 |  6200/ 9625 batches
[2024-08-03 16:22:12.052803]: context ppl 543.1678 | text ppl 49.3619 | rating loss 1.0335 |  6400/ 9625 batches
